Image1.png: embedded expression :(1142,336)(tl)(1199,377)(br)
Image24.png: embedded expression :(430,1585)(tl)(660,1629)(br)
Image24.png: embedded expression :(525,1688)(tl)(599,1729)(br)
Image24.png: embedded expression :(815,1685)(tl)(913,1732)(br)
Image24.png: embedded expression :(1308,1686)(tl)(1443,1734)(br)
Image24.png: embedded expression :(1274,1739)(tl)(1337,1777)(br)
Image24.png: embedded expression :(81,1783)(tl)(277,1831)(br)
Image24.png: embedded expression :(488,1781)(tl)(626,1837)(br)
Image25.png: embedded expression :(173,22)(tl)(271,81)(br)
Image25.png: embedded expression :(704,32)(tl)(778,77)(br)
Image25.png: embedded expression :(1312,84)(tl)(1401,128)(br)
Image25.png: embedded expression :(377,138)(tl)(544,180)(br)
Image25.png: embedded expression :(552,141)(tl)(613,180)(br)
Image25.png: embedded expression :(662,135)(tl)(1101,184)(br)
Image25.png: embedded expression :(219,180)(tl)(312,236)(br)
Image25.png: embedded expression :(483,189)(tl)(527,232)(br)
Image25.png: embedded expression :(606,189)(tl)(675,234)(br)
Image25.png: embedded expression :(1384,180)(tl)(1630,229)(br)
Image25.png: embedded expression :(54,234)(tl)(490,286)(br)
Image25.png: embedded expression :(1029,231)(tl)(1127,286)(br)
Image25.png: embedded expression :(1295,229)(tl)(1362,285)(br)
Image25.png: embedded expression :(1440,236)(tl)(1537,285)(br)
Image25.png: embedded expression :(889,285)(tl)(990,340)(br)
Image25.png: embedded expression :(1186,286)(tl)(1282,337)(br)
Image25.png: embedded expression :(254,338)(tl)(547,386)(br)
Image25.png: embedded expression :(616,344)(tl)(780,392)(br)
Image25.png: embedded expression :(227,387)(tl)(303,438)(br)
Image25.png: displayed expression :(589,450)(tl)(1118,573)(br)
Image25.png: embedded expression :(551,593)(tl)(626,642)(br)
Image25.png: embedded expression :(724,586)(tl)(805,642)(br)
Image25.png: embedded expression :(1347,591)(tl)(1448,640)(br)
Image25.png: embedded expression :(1553,581)(tl)(1652,640)(br)
Image25.png: embedded expression :(1356,633)(tl)(1452,701)(br)
Image25.png: displayed expression :(780,756)(tl)(936,807)(br)
Image25.png: embedded expression :(520,822)(tl)(682,887)(br)
Image25.png: displayed expression :(776,889)(tl)(962,999)(br)
Image25.png: embedded expression :(721,1004)(tl)(761,1058)(br)
Image25.png: embedded expression :(45,1054)(tl)(147,1110)(br)
Image25.png: embedded expression :(867,1061)(tl)(963,1106)(br)
Image25.png: embedded expression :(709,1110)(tl)(852,1157)(br)
Image25.png: embedded expression :(1004,1113)(tl)(1078,1159)(br)
Image25.png: embedded expression :(45,1164)(tl)(123,1211)(br)
Image25.png: embedded expression :(657,1164)(tl)(731,1209)(br)
Image25.png: embedded expression :(490,1211)(tl)(610,1263)(br)
Image25.png: embedded expression :(1184,1209)(tl)(1337,1261)(br)
Image25.png: embedded expression :(49,1266)(tl)(121,1315)(br)
Image25.png: embedded expression :(428,1265)(tl)(500,1317)(br)
Image25.png: embedded expression :(1017,1270)(tl)(1090,1310)(br)
Image25.png: embedded expression :(187,1315)(tl)(374,1362)(br)
Image25.png: embedded expression :(921,1314)(tl)(989,1367)(br)
Image25.png: embedded expression :(527,1470)(tl)(600,1517)(br)
Image25.png: embedded expression :(372,1521)(tl)(441,1569)(br)
Image25.png: embedded expression :(768,1521)(tl)(807,1568)(br)
Image25.png: embedded expression :(584,1674)(tl)(679,1724)(br)
Image25.png: embedded expression :(632,1950)(tl)(722,1989)(br)
Image25.png: embedded expression :(815,1943)(tl)(977,1987)(br)
Image25.png: embedded expression :(1271,1945)(tl)(1625,1985)(br)
Image25.png: embedded expression :(300,1996)(tl)(450,2029)(br)
Image25.png: embedded expression :(517,1987)(tl)(1015,2028)(br)
Image25.png: embedded expression :(1342,1987)(tl)(1490,2029)(br)
Image25.png: embedded expression :(49,2078)(tl)(190,2112)(br)
Image25.png: embedded expression :(802,2071)(tl)(1317,2110)(br)
Image25.png: embedded expression :(377,2120)(tl)(515,2154)(br)
Image25.png: embedded expression :(1218,2113)(tl)(1337,2156)(br)
Image25.png: embedded expression :(891,2159)(tl)(1026,2194)(br)
Image25.png: embedded expression :(862,2201)(tl)(1101,2236)(br)
Image25.png: embedded expression :(131,2240)(tl)(271,2278)(br)
Image27.png: displayed expression :(2802,4936)(tl)(4287,5089)(br)
Image27.png: displayed expression :(3001,5109)(tl)(3527,5232)(br)
Image27.png: displayed expression :(3011,5272)(tl)(4073,5385)(br)
Image27.png: displayed expression :(3011,5426)(tl)(4527,5553)(br)
Image27.png: displayed expression :(3159,5579)(tl)(3726,5711)(br)
Image28.png: embedded expression :(781,447)(tl)(909,545)(br)
Image28.png: embedded expression :(2143,462)(tl)(2363,545)(br)
Image28.png: displayed expression :(617,1300)(tl)(986,1413)(br)
Image28.png: displayed expression :(611,1439)(tl)(1541,1557)(br)
Image28.png: displayed expression :(642,1593)(tl)(1624,1680)(br)
Image28.png: displayed expression :(709,1696)(tl)(2220,1834)(br)
Image28.png: displayed expression :(920,1865)(tl)(2035,1983)(br)
Image28.png: displayed expression :(617,1999)(tl)(1028,2096)(br)
Image28.png: displayed expression :(627,2127)(tl)(1654,2245)(br)
Image28.png: displayed expression :(622,2256)(tl)(1767,2384)(br)
Image28.png: displayed expression :(714,2425)(tl)(1865,2507)(br)
Image28.png: displayed expression :(930,2559)(tl)(2343,2656)(br)
Image28.png: displayed expression :(2220,2672)(tl)(2466,2816)(br)
Image28.png: displayed expression :(575,4912)(tl)(2456,5200)(br)
Image28.png: embedded expression :(4008,4038)(tl)(4218,4141)(br)
Image28.png: embedded expression :(3381,4131)(tl)(3627,4234)(br)
Image28.png: displayed expression :(2877,4434)(tl)(4069,4588)(br)
Image28.png: displayed expression :(2882,4722)(tl)(4485,4855)(br)
Image28.png: embedded expression :(3679,4886)(tl)(3766,4963)(br)
Image28.png: embedded expression :(3920,4891)(tl)(3997,4968)(br)
Image28.png: embedded expression :(3319,4968)(tl)(3376,5040)(br)
Image28.png: embedded expression :(3550,4968)(tl)(3617,5040)(br)
Image28.png: embedded expression :(2692,5051)(tl)(2944,5138)(br)
Image31.png: embedded expression :(2218,4180)(tl)(2432,4253)(br)
Image31.png: embedded expression :(1618,4258)(tl)(1910,4352)(br)
Image31.png: displayed expression :(1028,4467)(tl)(2228,4597)(br)
Image31.png: displayed expression :(1018,4764)(tl)(2233,4874)(br)
Image31.png: embedded expression :(2510,5020)(tl)(2588,5103)(br)
Image31.png: embedded expression :(1842,5093)(tl)(1931,5171)(br)
Image31.png: embedded expression :(2098,5088)(tl)(2181,5166)(br)
Image31.png: embedded expression :(856,5270)(tl)(1091,5359)(br)
Image31.png: embedded expression :(673,5354)(tl)(767,5442)(br)
Image31.png: embedded expression :(934,5364)(tl)(1023,5442)(br)
Image31.png: embedded expression :(851,5479)(tl)(913,5536)(br)
Image31.png: displayed expression :(751,5568)(tl)(2588,5849)(br)
Image31.png: embedded expression :(751,5568)(tl)(2588,5849)(br)
Image31.png: embedded expression :(4482,965)(tl)(4576,1044)(br)
Image31.png: embedded expression :(3298,1398)(tl)(3538,1492)(br)
Image31.png: embedded expression :(3032,2139)(tl)(3126,2207)(br)
Image31.png: embedded expression :(3266,2139)(tl)(3340,2212)(br)
Image31.png: embedded expression :(3251,2317)(tl)(3329,2390)(br)
Image31.png: embedded expression :(2959,2755)(tl)(3053,2823)(br)
Image31.png: embedded expression :(3324,4034)(tl)(3413,4096)(br)
Image31.png: embedded expression :(2802,4195)(tl)(2865,4294)(br)
Image31.png: embedded expression :(3960,4206)(tl)(4018,4284)(br)
Image31.png: displayed expression :(3340,4420)(tl)(4373,4534)(br)
Image31.png: displayed expression :(2906,4540)(tl)(4581,4686)(br)
Image31.png: embedded expression :(3668,4827)(tl)(3747,4915)(br)
Image31.png: embedded expression :(4195,4816)(tl)(4441,4910)(br)
Image31.png: displayed expression :(2713,5020)(tl)(4493,5161)(br)
Image31.png: displayed expression :(4404,5181)(tl)(4581,5281)(br)
Image32.png: embedded expression :(982,481)(tl)(1284,568)(br)
Image32.png: embedded expression :(1873,496)(tl)(1934,568)(br)
Image32.png: embedded expression :(660,568)(tl)(757,660)(br)
Image32.png: embedded expression :(1202,588)(tl)(1269,670)(br)
Image32.png: displayed expression :(798,808)(tl)(2410,1167)(br)
Image32.png: embedded expression :(1238,1223)(tl)(1346,1310)(br)
Image32.png: embedded expression :(1704,1233)(tl)(1765,1310)(br)
Image32.png: embedded expression :(1197,1428)(tl)(1269,1494)(br)
Image32.png: embedded expression :(1909,1412)(tl)(1991,1489)(br)
Image32.png: embedded expression :(2144,1412)(tl)(2236,1484)(br)
Image32.png: displayed expression :(578,2328)(tl)(2333,2620)(br)
Image32.png: displayed expression :(599,2645)(tl)(2364,2927)(br)
Image32.png: displayed expression :(2205,2942)(tl)(2415,3070)(br)
Image33.png: embedded expression :(1632,2936)(tl)(1694,2987)(br)
Image33.png: embedded expression :(765,3008)(tl)(1001,3085)(br)
Image33.png: embedded expression :(1735,3121)(tl)(1797,3172)(br)
Image33.png: embedded expression :(2479,3116)(tl)(2546,3177)(br)
Image33.png: embedded expression :(1802,3737)(tl)(1940,3809)(br)
Image33.png: embedded expression :(852,4009)(tl)(1052,4086)(br)
Image33.png: embedded expression :(1155,5000)(tl)(1499,5061)(br)
Image33.png: embedded expression :(1889,4984)(tl)(2089,5082)(br)
Image38.png: embedded expression :(1768,1563)(tl)(2340,1640)(br)
Image38.png: displayed expression :(1211,2330)(tl)(2463,2432)(br)
Image38.png: displayed expression :(828,3249)(tl)(2447,3362)(br)
Image38.png: embedded expression :(966,3403)(tl)(1037,3489)(br)
Image38.png: displayed expression :(858,3724)(tl)(2182,3954)(br)
Image38.png: displayed expression :(874,4108)(tl)(2442,4353)(br)
Image38.png: displayed expression :(2861,2319)(tl)(3837,2427)(br)
Image38.png: displayed expression :(2866,2483)(tl)(4133,2585)(br)
Image38.png: displayed expression :(3116,2646)(tl)(3929,2728)(br)
Image38.png: displayed expression :(2876,2769)(tl)(4113,2881)(br)
Image38.png: displayed expression :(2866,2902)(tl)(4419,4200)(br)
Image39.png: embedded expression :(1457,2996)(tl)(1534,3073)(br)
Image39.png: embedded expression :(1091,3089)(tl)(1169,3156)(br)
Image39.png: embedded expression :(1992,3259)(tl)(2301,3341)(br)
Image39.png: displayed expression :(829,3511)(tl)(2533,4422)(br)
Image39.png: embedded expression :(1961,4432)(tl)(2260,4535)(br)
Image40.png: embedded expression :(1302,1097)(tl)(1385,1174)(br)
Image40.png: embedded expression :(1539,1097)(tl)(1632,1163)(br)
Image40.png: displayed expression :(2543,2090)(tl)(4242,2353)(br)
Image40.png: displayed expression :(2538,2507)(tl)(4407,2718)(br)
Image40.png: embedded expression :(3851,2847)(tl)(4160,2945)(br)
Image44.png: embedded expression :(1012,3090)(tl)(1220,3189)(br)
Image44.png: embedded expression :(312,3298)(tl)(516,3383)(br)
Image44.png: embedded expression :(1984,3288)(tl)(2401,3378)(br)
Image44.png: embedded expression :(1339,3393)(tl)(1513,3497)(br)
Image44.png: displayed expression :(372,3532)(tl)(1359,3740)(br)
Image44.png: embedded expression :(1409,4191)(tl)(1508,4280)(br)
Image44.png: embedded expression :(853,4380)(tl)(992,4479)(br)
Image44.png: embedded expression :(794,4672)(tl)(1111,4762)(br)
Image44.png: embedded expression :(1285,4667)(tl)(1622,4762)(br)
Image44.png: embedded expression :(1845,4662)(tl)(2034,4767)(br)
Image44.png: embedded expression :(1369,4861)(tl)(1622,4990)(br)
Image44.png: displayed expression :(382,5109)(tl)(1741,5312)(br)
Image44.png: embedded expression :(531,5362)(tl)(719,5446)(br)
Image44.png: embedded expression :(1805,5446)(tl)(2014,5550)(br)
Image44.png: displayed expression :(412,5689)(tl)(1855,5798)(br)
Image44.png: embedded expression :(2515,605)(tl)(2738,704)(br)
Image44.png: displayed expression :(2604,729)(tl)(4042,838)(br)
Image44.png: embedded expression :(2807,957)(tl)(3001,1047)(br)
Image44.png: embedded expression :(3110,952)(tl)(3298,1052)(br)
Image45.png: embedded expression :(1672,3075)(tl)(1845,3189)(br)
Image46.png: displayed expression :(273,3522)(tl)(1468,5015)(br)
Image46.png: embedded expression :(2138,5064)(tl)(2381,5158)(br)
Image46.png: embedded expression :(1617,5263)(tl)(1850,5357)(br)
Image46.png: embedded expression :(3125,3690)(tl)(3194,3755)(br)
Image46.png: embedded expression :(3725,5084)(tl)(3794,5153)(br)
Image46.png: embedded expression :(2480,5263)(tl)(2693,5362)(br)
Image46.png: embedded expression :(2852,5263)(tl)(2946,5347)(br)
Image46.png: embedded expression :(2490,5253)(tl)(2544,5347)(br)
Image46.png: embedded expression :(2584,5268)(tl)(2644,5357)(br)
Image46.png: embedded expression :(2852,5263)(tl)(2902,5342)(br)
Image46.png: embedded expression :(2500,6051)(tl)(3080,6155)(br)
Image46.png: embedded expression :(2673,6170)(tl)(3234,6264)(br)
Image47.png: displayed expression :(451,4409)(tl)(1508,4667)(br)
Image47.png: embedded expression :(1528,4712)(tl)(1587,4806)(br)
Image47.png: embedded expression :(893,5114)(tl)(952,5193)(br)
Image47.png: displayed expression :(2966,928)(tl)(3680,1146)(br)
Image47.png: displayed expression :(3016,1215)(tl)(3631,1314)(br)
Image47.png: displayed expression :(3150,1399)(tl)(3348,1488)(br)
Image47.png: embedded expression :(4191,1850)(tl)(4246,1924)(br)
Image47.png: embedded expression :(3313,2039)(tl)(3363,2118)(br)
Image47.png: embedded expression :(3427,2024)(tl)(3477,2123)(br)
Image47.png: embedded expression :(3680,2044)(tl)(3750,2118)(br)
Image47.png: embedded expression :(3660,2341)(tl)(3735,2416)(br)
Image47.png: embedded expression :(3948,2341)(tl)(4023,2430)(br)
Image47.png: embedded expression :(4271,2361)(tl)(4325,2425)(br)
Image47.png: embedded expression :(2579,2435)(tl)(2644,2510)(br)
Image47.png: embedded expression :(3814,3026)(tl)(3869,3100)(br)
Image47.png: embedded expression :(3264,3135)(tl)(3313,3199)(br)
Image47.png: embedded expression :(3358,3125)(tl)(3398,3219)(br)
Image47.png: embedded expression :(3581,3130)(tl)(3636,3214)(br)
Image47.png: embedded expression :(3457,3224)(tl)(3512,3303)(br)
Image47.png: embedded expression :(3055,3527)(tl)(3110,3611)(br)
Image47.png: embedded expression :(3145,3532)(tl)(3199,3591)(br)
Image47.png: embedded expression :(3229,3527)(tl)(3279,3606)(br)
Image47.png: embedded expression :(3303,3532)(tl)(3368,3616)(br)
Image47.png: embedded expression :(3536,3512)(tl)(3586,3596)(br)
Image47.png: embedded expression :(3264,3621)(tl)(3457,3705)(br)
Image47.png: embedded expression :(3502,3611)(tl)(3685,3705)(br)
Image47.png: embedded expression :(3859,3611)(tl)(4047,3725)(br)
Image47.png: displayed expression :(2668,3824)(tl)(3517,4037)(br)
Image47.png: displayed expression :(2649,5119)(tl)(4400,5248)(br)
Image47.png: embedded expression :(3829,5367)(tl)(4023,5476)(br)
Image47.png: embedded expression :(2807,5461)(tl)(3358,5565)(br)
Image47.png: displayed expression :(2668,5699)(tl)(4221,5838)(br)
Image47.png: displayed expression :(456,4404)(tl)(1458,4677)(br)
Image47.png: embedded expression :(1523,4702)(tl)(1597,4811)(br)
Image47.png: embedded expression :(893,5119)(tl)(952,5198)(br)
Image47.png: embedded expression :(4191,1835)(tl)(4251,1924)(br)
Image47.png: embedded expression :(3318,2024)(tl)(3527,2123)(br)
Image47.png: embedded expression :(3670,2019)(tl)(3745,2128)(br)
Image47.png: embedded expression :(2564,2416)(tl)(2872,2520)(br)
Image47.png: embedded expression :(3665,2321)(tl)(4538,2425)(br)
Image47.png: embedded expression :(3070,3502)(tl)(3621,3611)(br)
Image47.png: embedded expression :(3259,3616)(tl)(4047,3715)(br)
Image47.png: displayed expression :(2659,3829)(tl)(3536,4028)(br)
Image47.png: displayed expression :(2664,5094)(tl)(4414,5238)(br)
Image47.png: embedded expression :(3839,5357)(tl)(4023,5476)(br)
Image47.png: embedded expression :(2788,5456)(tl)(3393,5575)(br)
Image47.png: displayed expression :(2678,5694)(tl)(4256,5843)(br)
Image48.png: displayed expression :(397,635)(tl)(2331,843)(br)
Image48.png: embedded expression :(322,957)(tl)(1166,1076)(br)
Image48.png: displayed expression :(387,1200)(tl)(2306,1424)(br)
Image48.png: embedded expression :(1156,2381)(tl)(2435,2470)(br)
Image48.png: displayed expression :(337,2703)(tl)(2361,3427)(br)
Image48.png: displayed expression :(377,3809)(tl)(1944,4231)(br)
Image48.png: displayed expression :(377,4390)(tl)(1885,4826)(br)
Image48.png: displayed expression :(387,5282)(tl)(2331,6031)(br)
Image48.png: displayed expression :(2589,689)(tl)(4504,1146)(br)
Image48.png: displayed expression :(2579,1329)(tl)(4484,1771)(br)
Image48.png: displayed expression :(2530,1939)(tl)(4305,2584)(br)
Image48.png: displayed expression :(2559,2981)(tl)(4469,4152)(br)
Image48.png: displayed expression :(2579,4697)(tl)(4588,5416)(br)
Image48.png: embedded expression :(4062,5863)(tl)(4186,5992)(br)
Image48.png: displayed expression :(2584,6116)(tl)(4593,6284)(br)
Image49.png: displayed expression :(2614,560)(tl)(4479,1096)(br)
Image49.png: displayed expression :(2624,1270)(tl)(4742,1880)(br)
Image49.png: embedded expression :(2778,3710)(tl)(3036,3814)(br)
Image49.png: embedded expression :(3313,4102)(tl)(3536,4211)(br)
Image49.png: embedded expression :(2659,6002)(tl)(2733,6081)(br)
Image49.png: embedded expression :(4593,6111)(tl)(4682,6200)(br)
Image49.png: embedded expression :(4087,6205)(tl)(4142,6284)(br)
Image50.png: embedded expression :(1498,3928)(tl)(2445,4037)(br)
Image50.png: embedded expression :(312,4032)(tl)(2445,4132)(br)
Image50.png: embedded expression :(303,4142)(tl)(863,4236)(br)
Image50.png: embedded expression :(1384,4320)(tl)(2306,4434)(br)
Image50.png: embedded expression :(303,4419)(tl)(1260,4533)(br)
Image50.png: displayed expression :(2594,3814)(tl)(3829,4102)(br)
Image53.png: embedded expression :(1339,456)(tl)(1771,565)(br)
Image53.png: embedded expression :(1910,446)(tl)(2351,585)(br)
Image53.png: embedded expression :(2341,769)(tl)(2470,878)(br)
Image53.png: embedded expression :(501,863)(tl)(610,952)(br)
Image53.png: embedded expression :(1523,863)(tl)(1627,957)(br)
Image53.png: embedded expression :(818,942)(tl)(1612,1066)(br)
Image53.png: embedded expression :(1840,957)(tl)(2068,1071)(br)
Image53.png: embedded expression :(1840,957)(tl)(2068,1071)(br)
Image54.png: embedded expression :(303,5034)(tl)(506,5139)(br)
Image54.png: embedded expression :(1066,5148)(tl)(1141,5243)(br)
Image54.png: embedded expression :(1453,5139)(tl)(1706,5243)(br)
Image54.png: embedded expression :(1756,5253)(tl)(1850,5342)(br)
Image54.png: embedded expression :(595,5441)(tl)(680,5540)(br)
Image54.png: embedded expression :(1602,5441)(tl)(1875,5540)(br)
Image54.png: embedded expression :(2098,5441)(tl)(2197,5540)(br)
Image54.png: embedded expression :(2336,5446)(tl)(2420,5550)(br)
Image54.png: embedded expression :(1438,5649)(tl)(1513,5734)(br)
Image54.png: embedded expression :(516,5734)(tl)(759,5833)(br)
Image54.png: embedded expression :(1458,5843)(tl)(1552,5932)(br)
Image54.png: embedded expression :(1081,5927)(tl)(1309,6041)(br)
Image54.png: embedded expression :(2029,6041)(tl)(2445,6140)(br)
Image54.png: embedded expression :(293,6126)(tl)(570,6235)(br)
Image54.png: embedded expression :(744,6131)(tl)(853,6230)(br)
Image54.png: embedded expression :(3164,794)(tl)(3259,883)(br)
Image54.png: embedded expression :(2505,868)(tl)(2877,992)(br)
Image54.png: embedded expression :(2986,883)(tl)(3090,982)(br)
Image54.png: embedded expression :(3447,883)(tl)(3626,992)(br)
Image54.png: embedded expression :(3869,982)(tl)(4112,1076)(br)
Image54.png: embedded expression :(3502,1081)(tl)(3685,1180)(br)
Image54.png: embedded expression :(4221,1071)(tl)(4682,1176)(br)
Image54.png: embedded expression :(4464,1384)(tl)(4643,1488)(br)
Image54.png: embedded expression :(3373,1488)(tl)(3551,1572)(br)
Image54.png: embedded expression :(3417,1577)(tl)(3621,1667)(br)
Image54.png: embedded expression :(3229,1766)(tl)(3477,1875)(br)
Image54.png: embedded expression :(2847,1870)(tl)(3417,1959)(br)
Image54.png: embedded expression :(4092,1974)(tl)(4256,2073)(br)
Image54.png: embedded expression :(4395,1959)(tl)(4648,2083)(br)
Image54.png: embedded expression :(2718,2058)(tl)(2887,2192)(br)
Image54.png: embedded expression :(3150,2058)(tl)(3338,2187)(br)
Image54.png: displayed expression :(2594,2321)(tl)(4652,2540)(br)
Image54.png: embedded expression :(4246,2619)(tl)(4320,2708)(br)
Image54.png: embedded expression :(4290,2907)(tl)(4479,3016)(br)
Image54.png: embedded expression :(4067,3021)(tl)(4251,3120)(br)
Image54.png: embedded expression :(3879,3110)(tl)(4102,3224)(br)
Image54.png: embedded expression :(2996,3303)(tl)(3179,3412)(br)
Image54.png: embedded expression :(2862,3606)(tl)(3105,3710)(br)
Image54.png: displayed expression :(2574,4553)(tl)(4648,4742)(br)
Image54.png: embedded expression :(4380,4806)(tl)(4662,4930)(br)
Image54.png: displayed expression :(2549,5347)(tl)(4657,5516)(br)
Image54.png: embedded expression :(2723,5555)(tl)(2971,5659)(br)
Image54.png: embedded expression :(4161,5560)(tl)(4256,5664)(br)
Image54.png: embedded expression :(2867,5669)(tl)(2966,5759)(br)
Image54.png: embedded expression :(3596,5654)(tl)(4008,5754)(br)
Image54.png: embedded expression :(2654,5773)(tl)(2728,5873)(br)
Image54.png: embedded expression :(3770,5764)(tl)(4003,5858)(br)
Image54.png: displayed expression :(2599,5942)(tl)(4811,6264)(br)
Image54.png: displayed expression :(2599,5942)(tl)(4811,6264)(br)
Image55.png: embedded expression :(640,972)(tl)(858,1076)(br)
Image55.png: embedded expression :(714,1071)(tl)(997,1166)(br)
Image55.png: embedded expression :(2336,1180)(tl)(2445,1260)(br)
Image55.png: displayed expression :(407,1503)(tl)(903,1617)(br)
Image55.png: displayed expression :(407,1890)(tl)(1706,2019)(br)
Image55.png: embedded expression :(585,2073)(tl)(665,2158)(br)
Image55.png: embedded expression :(1468,2073)(tl)(1548,2153)(br)
Image55.png: displayed expression :(402,2187)(tl)(1468,2306)(br)
Image55.png: embedded expression :(1617,2366)(tl)(1691,2440)(br)
Image55.png: embedded expression :(1850,2351)(tl)(1929,2450)(br)
Image55.png: embedded expression :(1602,2664)(tl)(1662,2743)(br)
Image55.png: embedded expression :(2019,2634)(tl)(2197,2758)(br)
Image55.png: embedded expression :(2088,2852)(tl)(2197,2951)(br)
Image55.png: embedded expression :(308,3065)(tl)(427,3145)(br)
Image55.png: displayed expression :(317,3145)(tl)(2460,3492)(br)
Image55.png: embedded expression :(724,3541)(tl)(1091,3651)(br)
Image55.png: embedded expression :(1002,3656)(tl)(1106,3745)(br)
Image55.png: embedded expression :(2113,3859)(tl)(2222,3943)(br)
Image55.png: embedded expression :(1929,3953)(tl)(2108,4052)(br)
Image55.png: embedded expression :(1924,4152)(tl)(2024,4236)(br)
Image55.png: embedded expression :(744,4256)(tl)(813,4335)(br)
Image55.png: embedded expression :(759,4449)(tl)(833,4533)(br)
Image55.png: embedded expression :(1037,4439)(tl)(1131,4538)(br)
Image55.png: displayed expression :(446,4538)(tl)(2455,4722)(br)
Image55.png: displayed expression :(397,4841)(tl)(2430,5000)(br)
Image55.png: embedded expression :(1106,5005)(tl)(1210,5119)(br)
Image55.png: displayed expression :(372,5144)(tl)(2460,5481)(br)
Image55.png: embedded expression :(2192,5833)(tl)(2366,5927)(br)
Image55.png: embedded expression :(784,6131)(tl)(848,6220)(br)
Image55.png: embedded expression :(2510,466)(tl)(2703,575)(br)
Image55.png: embedded expression :(2847,1448)(tl)(3274,1557)(br)
Image55.png: displayed expression :(2574,1572)(tl)(4662,1800)(br)
Image55.png: embedded expression :(3408,1860)(tl)(3502,1954)(br)
Image55.png: embedded expression :(4385,3254)(tl)(4454,3353)(br)
Image55.png: embedded expression :(3522,3348)(tl)(3765,3442)(br)
Image55.png: embedded expression :(3085,3447)(tl)(3452,3541)(br)
Image56.png: embedded expression :(1146,5833)(tl)(1533,5937)(br)
Image56.png: embedded expression :(556,6031)(tl)(744,6131)(br)
